rastr,decstr,st_pmra,st_pmraerr1,st_pmralim,st_pmdec,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeplim,pl_rade,pl_radeerr1,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmaglim,st_dist,st_distlim,st_teff,st_tefferr1,st_tefflim,st_logg,st_loggerr1,st_logglim,st_raderr1,st_radlim,tfopwg_disp_APC,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC
29495.03,-26.02810277777778,1.566,0.052,0.0,-17.974,0.0,2459963.61,0.004221,0,1.3730466,6.7e-06,0,2.5708515,0.1950537,0,1301.506534,96.64637,0,42.1479417,46.48904,0,3160.632833,1912.331864,10.7069,0.008,0,906.496,0,4897.0,122.0,0,,,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
27866.59,-35.901713888888885,-9.231,0.048,0.0,11.614,0.0,2459238.831,0.006715,0,12.6889415,0.0095088,0,7.9201001,0.5393766,0,3232.852789,235.25328,0,14.0608342,15.241591,0,425.1594177,1158.131037,10.6257,0.006,0,368.646,0,7601.0,135.8,0,4.31,0.08,0,0.0479799,0,0.0,0.0,0.0,1.0,0.0,0.0
29934.34,-36.21675,-11.278,0.045,0.0,9.593,0.0,2458518.965,0.00137,0,1.10422,0.00013,0,2.37,0.062,0,14177.7,843.788,0,21.0448,5.22012,0,39459.3,3926.0,10.6019,0.006,0,406.997,0,6995.2,157.0,0,4.07,0.55,0,0.07,0,0.0,0.0,0.0,1.0,0.0,0.0
26811.84,-49.73343333333333,-8.018,0.049,0.0,11.56,0.0,2458492.781,0.00073,0,4.95912,0.00016,0,2.509,0.13,0,7440.0,197.962,0,22.9123,3.28055,0,673.55,1419.0,10.6254,0.006,0,360.541,0,5889.0,124.3,0,3.86,0.07,0,0.09,0,0.0,0.0,0.0,1.0,0.0,0.0
28835.52,-53.12144722222222,-11.732,0.047,0.0,2.586,0.0,2459232.447,0.00012,0,5.2341008,1.2e-06,0,3.7078139,0.0125204,0,20796.94163,50.80361,0,24.2931408,0.7497171,0,1453.666385,1574.838185,10.6348,0.006,0,399.544,0,7645.0,134.4,0,4.3,0.08,0,0.0481257,0,0.0,0.0,0.0,0.0,0.0,1.0
20913.56,-62.011672222222224,-15.641,0.037,0.0,26.046,0.0,2460187.917,0.000126,0,4.4119378,8e-07,0,3.65,0.011,0,15062.0,69.1814,0,15.4706,0.691963,0,653.252,1408.0,9.7109,0.006,0,175.631,0,6280.0,,0,4.32092,,0,0.05,0,0.0,0.0,0.0,0.0,1.0,0.0
30811.67,-42.17157777777778,-5.814,0.051,0.0,4.328,0.0,2458521.291,0.00241,0,3.28892,0.00066,0,3.793,0.202,0,10518.9,530.608,0,,,0,29832.6,3661.0,10.7173,0.013,0,906.827,0,8734.2,283.6,0,4.1,1.45,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
28632.18,-41.00085,-3.211,0.046,0.0,-15.082,0.0,2458492.904,0.00426,0,1.90879,0.00035,0,1.909,0.231,0,618.482,1.43774,0,3.34688,0.217749,0,985.807,1561.0,10.5551,0.006,0,235.974,0,6022.6,133.5,0,4.52,0.39,0,0.05,0,0.0,0.0,0.0,1.0,0.0,0.0
39111.58,-4.211291666666667,-15.787,0.09,0.0,-11.849,0.0,2458547.448,0.00834,0,3.09574,0.00677,0,4.475,1.196,0,380.0,,0,3.4262,0.778713,0,18087.9,3230.0,8.72924,0.007,0,120.666,0,6084.0,111.0,0,4.13,0.3,0,0.05,0,0.0,0.0,1.0,0.0,0.0,0.0
29001.05,-50.654374999999995,-23.366,0.042,0.0,22.652,0.0,2459303.304,0.003015,0,1.3214483,2.31e-05,0,3.435,0.071,0,2180.0,137.946,0,21.8839,4.01475,0,35623.2,3827.0,9.697,0.006,0,316.398,0,5050.8,86.8,0,3.56,0.4,0,0.15,0,0.0,0.0,0.0,1.0,0.0,0.0
