,disposition_CONFIRMED,disposition_CANDIDATE,disposition_FALSE POSITIVE,disposition_REFUTED,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,st_rad,st_raderr1,st_radlim,ra,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.57771549,2.56752,0.111879,0.0,170.133417,307.784,9.12,0.03,0.023,0.000267
41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0113,0.880221,0.078,0.0,183.3092954,501.257,14.003,0.149,0.027,0.000192
42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,40.70206194,0.572892,0.017217,0.0,178.420349,118.959,14.418,0.05,0.025,0.000321
43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,21.204739,1.761722,0.212777,0.0,182.2046312,573.991,11.965,0.103,0.021,0.000431
44,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.519334,1.45,0.25,0.0,171.2359519,476.884,12.293,0.08,0.026,0.000424
45,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.5194039,1.76,0.1512,0.0,171.2359519,476.884,12.293,0.08,0.026,0.000424
46,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.519386,2.03,0.178,0.0,171.2359519,476.884,12.293,0.08,0.026,0.000424
47,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.51881781,1.76277,0.1512,0.0,171.2359519,476.884,12.293,0.08,0.026,0.000424
48,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.5194078,1.72,0.1512,0.0,171.2359519,476.884,12.293,0.08,0.026,0.000424
49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.383629,0.815235,0.026738,0.0,184.0351247,194.195,13.002,0.08,0.021,0.000146
50,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.38382,0.65973,0.034864,0.0,184.0351247,194.195,13.002,0.08,0.021,0.000146
51,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.8951,0.68,0.07,0.0,185.1812113,449.79,12.788,0.057,0.03,0.000203
52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,40.1401,0.716,0.131,0.0,173.1750869,342.596,16.153,0.297,0.03,0.000949
53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.4433,0.724,0.053,0.0,168.7367646,328.871,15.374,0.229,0.024,0.000548
54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.638,1.0765328,0.0530358,0.0,184.5853275,704.6686,14.872,0.195,0.029,0.005014
55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.47083,0.749863,0.038988,0.0,183.188479,273.773,13.687,0.103,0.026,0.00051
56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.8268121,0.98,0.1087364,0.0,174.0440867,649.666,12.137,0.057,0.024,0.000992
57,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.72091,0.94,0.09,0.0,184.6021322,706.391,14.321,0.172,0.029,0.000208
58,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.44044,1.053,0.081,0.0,173.6002346,243.084,11.838,0.103,0.053,0.000864
59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.4416421,0.9,0.052283800000000005,0.0,173.6002346,243.084,11.838,0.103,0.053,0.000864
60,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.441258,0.833852,0.050419,0.0,173.6002346,243.084,11.838,0.103,0.053,0.000864
61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.20381,1.1,0.14,0.0,170.6512345,325.849,12.238,0.046,0.023,0.000404
62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.006875,0.846,0.056,0.0,185.6973984,511.581,14.285,0.172,0.023,0.000269
63,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.3643115,1.32,0.09340000000000001,0.0,168.187478,147.352,8.45,0.03,0.023,0.000866
64,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.13174,0.6295999999999999,0.0371954,0.0,168.9366786,253.026,13.948,0.183,0.026,0.000323
65,0.0,1.0,0.0,0.0,1.0,1.0,0.0,13.837814,0.7,0.0356,0.0,168.9366786,253.026,13.948,0.183,0.026,0.000323
66,0.0,1.0,0.0,0.0,1.0,1.0,0.0,13.8394,0.554,0.016,0.0,168.9366786,253.026,13.948,0.183,0.026,0.000323
67,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.79983,0.554,0.016,0.0,168.9366786,253.026,13.948,0.183,0.026,0.000323
68,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.7991586,0.7,0.038195400000000004,0.0,168.9366786,253.026,13.948,0.183,0.026,0.000323
69,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.883,0.554,0.016,0.0,168.9366786,253.026,13.948,0.183,0.026,0.000323
70,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.3330982,0.5,0.036199999999999996,0.0,173.5625041,166.356,18.96,0.2,0.045,0.001813
71,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.33293,0.224,0.025,0.0,173.5625041,166.356,18.96,0.2,0.045,0.001813
72,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.333123,0.224,0.026,0.0,173.5625041,166.356,18.96,0.2,0.045,0.001813
73,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.2073,0.7624,0.0811,0.0,171.2596557,345.0,14.148,0.126,0.026,0.00041
74,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.7099,5.33871,0.0918,0.0,174.3144865,792.41,11.496,0.037,0.021,0.0011
75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.762337,0.75,0.0918,0.0,174.3144865,792.41,11.496,0.037,0.021,0.0011
76,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.565799,0.854,0.139,0.0,163.715838,486.6924,14.3916,0.1136,0.184,0.0004976000000000001
77,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.39916,0.7006,0.0045,0.0,172.804304,333.838,13.978,0.16,0.025,0.000331
78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.3991398,0.8,0.0251,0.0,172.804304,333.838,13.978,0.16,0.025,0.000331
79,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.72273204,2.85976,0.105209,0.0,171.6509741,262.833,8.162,0.003,0.023,0.001588
80,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.695142,0.625,0.047,0.0,163.0590829,197.438,14.263,0.08,0.025,0.000292
81,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.48038,1.27,0.2,0.0,172.8169888,415.742,12.158,0.08,0.023,0.000356
82,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9668579,0.77,0.0808,0.0,169.1468835,410.984,14.384,0.057,0.023,0.000324
83,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.96712,0.826,0.074,0.0,169.1468835,410.984,14.384,0.057,0.023,0.000324
84,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.718098952,0.52,0.08,0.0,176.0758509,527.641,15.484,0.092,0.03,0.001299
85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.726743,0.73,0.04440000000000001,0.0,177.9249905,393.612,14.882,0.114,0.029,0.000286
86,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.2359,0.924,0.033,0.0,177.2334424,690.858,14.377,0.297,0.027,0.000312
87,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.18746328,17.27,0.041,0.0,177.1399358,141.166,17.1899,0.0459,0.026600000000000002,0.001697
88,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.6382631,0.5,0.05720000000000001,0.0,176.9920988,1338.23,17.4584,0.0464,0.073,0.001124
89,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.63829,0.438,0.042,0.0,176.9920988,1338.23,17.4584,0.0464,0.073,0.001124
90,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.6381,0.5,0.12,0.0,176.9920988,1338.23,17.4584,0.0464,0.073,0.001124
91,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.63795,0.438,0.044,0.0,176.9920988,1338.23,17.4584,0.0464,0.073,0.001124
92,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.7968861,0.72,0.04396,0.0,167.1711994,233.55,12.329,0.038,0.023,0.001189
93,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.79687,0.79,0.06,0.0,167.1711994,233.55,12.329,0.038,0.023,0.001189
94,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4775252,0.522,0.039,0.0,174.6740618,271.8764,15.528,0.183,0.03,0.002675
95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,22.197992,0.4,0.0301204,0.0,177.7087476,199.162,18.1,0.2,0.034,0.000998
96,0.0,1.0,0.0,0.0,1.0,0.0,0.0,44.394,0.318,0.077,0.0,177.7087476,199.162,18.1,0.2,0.034,0.000998
97,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.29163,0.567,0.019,0.0,170.9344032,219.562,13.733,0.114,0.019,0.000324
98,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.2908998,0.72,0.038,0.0,170.9344032,219.562,13.733,0.114,0.019,0.000324
99,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.877214,0.93,0.06,0.0,183.7203635,232.1,11.746,0.069,0.021,0.000245
100,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.87724,0.98,0.025,0.0,183.7203635,232.1,11.746,0.069,0.021,0.000245
101,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.87703,0.990833,0.04382,0.0,183.7203635,232.1,11.746,0.069,0.021,0.000245
