,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbperlim,ttv_flag,st_rad,st_radlim,rastr,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
64,1,1,0,2.13174,0.0,0,,,0 days 11:15:44.800000,253.026,13.948,0.183,0.026,0.000323
65,1,1,0,13.837814,0.0,0,0.7,0.0,0 days 11:15:44.800000,253.026,13.948,0.183,0.026,0.000323
66,1,1,0,13.8394,0.0,0,0.554,0.0,0 days 11:15:44.800000,253.026,13.948,0.183,0.026,0.000323
67,1,1,0,7.79983,0.0,0,0.554,0.0,0 days 11:15:44.800000,253.026,13.948,0.183,0.026,0.000323
68,1,1,0,7.7991586,0.0,0,0.7,0.0,0 days 11:15:44.800000,253.026,13.948,0.183,0.026,0.000323
69,1,1,0,3.883,0.0,0,0.554,0.0,0 days 11:15:44.800000,253.026,13.948,0.183,0.026,0.000323
70,1,0,0,2.3330982,0.0,0,0.5,0.0,0 days 11:34:15,166.356,18.96,0.2,0.045,0.001813
71,1,0,0,2.33293,0.0,0,0.224,0.0,0 days 11:34:15,166.356,18.96,0.2,0.045,0.001813
72,1,0,0,2.333123,0.0,0,0.224,0.0,0 days 11:34:15,166.356,18.96,0.2,0.045,0.001813
73,1,0,0,20.2073,0.0,0,0.7624,0.0,0 days 11:25:02.320000,345.0,14.148,0.126,0.026,0.00041
74,1,0,0,36.7099,0.0,0,5.33871,0.0,0 days 11:37:15.480000,792.41,11.496,0.037,0.021,0.0011
75,1,0,0,36.762337,0.0,0,0.75,0.0,0 days 11:37:15.480000,792.41,11.496,0.037,0.021,0.0011
76,1,0,0,19.565799,0.0,0,0.854,0.0,0 days 10:54:51.800000,,,,0.184,
77,1,0,0,6.39916,0.0,0,0.7006,0.0,0 days 11:31:13.030000,333.838,13.978,0.16,0.025,0.000331
78,1,0,0,6.3991398,0.0,0,0.8,0.0,0 days 11:31:13.030000,333.838,13.978,0.16,0.025,0.000331
79,1,0,0,2.72273204,0.0,0,2.85976,0.0,0 days 11:26:36.230000,262.833,8.162,0.003,0.023,0.001588
80,1,0,0,15.695142,0.0,0,0.625,0.0,0 days 10:52:14.180000,197.438,14.263,0.08,0.025,0.000292
81,1,0,0,2.48038,0.0,0,1.27,0.0,0 days 11:31:16.080000,415.742,12.158,0.08,0.023,0.000356
82,1,0,0,1.9668579,0.0,0,0.77,0.0,0 days 11:16:35.250000,410.984,14.384,0.057,0.023,0.000324
83,1,0,0,1.96712,0.0,0,0.826,0.0,0 days 11:16:35.250000,410.984,14.384,0.057,0.023,0.000324
84,1,0,0,,,0,0.52,0.0,0 days 11:44:18.200000,527.641,15.484,0.092,0.03,0.001299
85,1,0,0,12.726743,0.0,0,0.73,0.0,0 days 11:51:42,393.612,14.882,0.114,0.029,0.000286
86,1,0,0,13.2359,0.0,0,0.924,0.0,0 days 11:48:56.030000,690.858,14.377,0.297,0.027,0.000312
87,1,0,0,0.18746328,0.0,0,17.27,0.0,0 days 11:48:33.580000,141.166,17.1899,0.0459,,0.001697
88,1,0,0,8.6382631,0.0,0,0.5,0.0,0 days 11:47:58.100000,1338.23,17.4584,0.0464,0.073,0.001124
89,1,0,0,8.63829,0.0,0,0.438,0.0,0 days 11:47:58.100000,1338.23,17.4584,0.0464,0.073,0.001124
90,1,0,0,8.6381,0.0,0,0.5,0.0,0 days 11:47:58.100000,1338.23,17.4584,0.0464,0.073,0.001124
91,1,0,0,8.63795,0.0,0,0.438,0.0,0 days 11:47:58.100000,1338.23,17.4584,0.0464,0.073,0.001124
92,1,0,0,5.7968861,0.0,0,0.72,0.0,0 days 11:08:41.090000,233.55,12.329,0.038,0.023,0.001189
93,1,0,0,5.79687,0.0,0,0.79,0.0,0 days 11:08:41.090000,233.55,12.329,0.038,0.023,0.001189
94,1,0,0,0.4775252,0.0,0,0.522,0.0,0 days 11:38:41.770000,,15.528,0.183,0.03,0.002675
95,1,0,0,22.197992,0.0,0,0.4,0.0,0 days 11:50:50.100000,199.162,18.1,0.2,0.034,0.000998
96,1,0,0,44.394,0.0,0,0.318,0.0,0 days 11:50:50.100000,199.162,18.1,0.2,0.034,0.000998
97,1,0,0,3.29163,0.0,0,0.567,0.0,0 days 11:23:44.260000,219.562,13.733,0.114,0.019,0.000324
98,1,0,0,3.2908998,0.0,0,0.72,0.0,0 days 11:23:44.260000,219.562,13.733,0.114,0.019,0.000324
99,1,2,0,0.877214,0.0,0,0.93,0.0,0 days 12:14:52.890000,232.1,11.746,0.069,0.021,0.000245
100,1,2,0,0.87724,0.0,0,0.98,0.0,0 days 12:14:52.890000,232.1,11.746,0.069,0.021,0.000245
101,1,2,0,0.87703,0.0,0,0.990833,0.0,0 days 12:14:52.890000,232.1,11.746,0.069,0.021,0.000245
102,1,2,0,0.877183,0.0,0,0.932487,0.0,0 days 12:14:52.890000,232.1,11.746,0.069,0.021,0.000245
103,1,0,0,2.8964139,0.0,0,0.42,0.0,0 days 11:22:42.940000,113.012,15.346,0.08,0.019,0.000678
104,1,0,0,2.89607106,0.0,0,0.524138,0.0,0 days 11:22:42.940000,113.012,15.346,0.08,0.019,0.000678
105,1,0,0,2.896528,0.0,0,0.242,0.0,0 days 11:22:42.940000,113.012,15.346,0.08,0.019,0.000678
106,1,0,0,0.44433632,0.0,0,0.8,0.0,0 days 11:21:14.830000,254.555,12.183,0.057,0.021,0.000536
107,1,0,0,0.444372,0.0,0,0.82,0.0,0 days 11:21:14.830000,254.555,12.183,0.057,0.021,0.000536
108,1,2,0,3.80464,0.0,0,,,0 days 12:20:45.140000,476.882,12.081,0.046,0.022,0.000236
109,1,0,0,7.28161,0.0,0,0.49,0.0,0 days 11:57:57.960000,126.182,14.796,0.08,0.019,0.00032
110,1,0,0,7.28116,0.0,0,0.541438,0.0,0 days 11:57:57.960000,126.182,14.796,0.08,0.019,0.00032
111,1,0,0,7.28076,0.0,0,0.399,0.0,0 days 11:57:57.960000,126.182,14.796,0.08,0.019,0.00032
112,1,0,0,7.28138,0.0,0,0.399,0.0,0 days 11:57:57.960000,126.182,14.796,0.08,0.019,0.00032
113,1,0,0,7.28131,0.0,0,0.51,0.0,0 days 11:57:57.960000,126.182,14.796,0.08,0.019,0.00032
114,1,0,0,4.58328,0.0,0,0.545,0.0,0 days 11:09:47.440000,203.223,15.375,0.149,0.023,0.000591
115,1,0,0,1.65336,0.0,0,0.545,0.0,0 days 11:09:47.440000,203.223,15.375,0.149,0.023,0.000591
